source_run,excluded_from_performance,sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
ncu,True,1786540426164955700,2026/08/12 23:13:46.228,63.0,28.0,19489.0,32607.0,32.47,1260.0,405.0
ncu,True,1786540426751109600,2026/08/12 23:13:46.814,0.0,0.0,19489.0,32607.0,83.34,2880.0,13801.0
ncu,True,1786540427322776900,2026/08/12 23:13:47.386,0.0,0.0,19495.0,32607.0,111.96,2880.0,13801.0
ncu,True,1786540427907967900,2026/08/12 23:13:47.971,0.0,0.0,19497.0,32607.0,85.33,2880.0,13801.0
ncu,True,1786540428492359100,2026/08/12 23:13:48.556,0.0,0.0,19497.0,32607.0,75.64,952.0,7001.0
ncu,True,1786540429066180900,2026/08/12 23:13:49.128,0.0,0.0,19497.0,32607.0,48.79,592.0,7001.0
ncu,True,1786540429651311900,2026/08/12 23:13:49.714,0.0,0.0,19497.0,32607.0,31.81,517.0,810.0
ncu,True,1786540430238113900,2026/08/12 23:13:50.301,0.0,0.0,19498.0,32607.0,28.17,442.0,810.0
ncu,True,1786540430825043300,2026/08/12 23:13:50.888,0.0,0.0,19498.0,32607.0,25.3,397.0,810.0
ncu,True,1786540431398512500,2026/08/12 23:13:51.462,0.0,0.0,19498.0,32607.0,40.69,1380.0,13801.0
ncu,True,1786540431972877100,2026/08/12 23:13:52.036,0.0,0.0,19498.0,32607.0,49.48,1867.0,13801.0
ncu,True,1786540432559937700,2026/08/12 23:13:52.622,0.0,0.0,19498.0,32607.0,49.47,1867.0,13801.0
ncu,True,1786540433145197600,2026/08/12 23:13:53.208,0.0,0.0,19495.0,32607.0,44.83,480.0,7001.0
ncu,True,1786540433718150500,2026/08/12 23:13:53.782,0.0,0.0,19491.0,32607.0,43.67,457.0,810.0
ncu,True,1786540434291542900,2026/08/12 23:13:54.355,0.0,0.0,19491.0,32607.0,33.47,382.0,810.0
ncu,True,1786540434878141400,2026/08/12 23:13:54.941,0.0,0.0,19489.0,32607.0,25.04,345.0,810.0
ncu,True,1786540435451056000,2026/08/12 23:13:55.514,34.0,12.0,19489.0,32607.0,36.1,705.0,405.0
ncu,True,1786540436036553100,2026/08/12 23:13:56.099,0.0,0.0,19489.0,32607.0,35.64,855.0,405.0
