split,layer,rows,stripe_degree,worker_id,stripe_index,head_start,head_stop,runtime_weight_bytes,persistent_state_bytes,wall_p50_ms,cuda_p50_ms,host_overhead_p50_ms,physical_launches,network_visible_outputs,cross_degree_relative_l2,pass
heldout,89,1,8,kda.layer-89.p8.worker-04,4,48,60,32102448,860160,0.2823,,,8,1,1.616721572603269e-07,True
heldout,89,1,8,kda.layer-89.p8.worker-05,5,60,72,32102448,860160,0.2808,,,8,1,1.616721572603269e-07,True
heldout,89,1,8,kda.layer-89.p8.worker-06,6,72,84,32102448,860160,0.2802,,,8,1,1.616721572603269e-07,True
heldout,89,1,8,kda.layer-89.p8.worker-07,7,84,96,32102448,860160,0.2835,,,8,1,1.616721572603269e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-00,0,0,6,16051224,430080,0.255,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-01,1,6,12,16051224,430080,0.2586,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-02,2,12,18,16051224,430080,0.2613,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-03,3,18,24,16051224,430080,0.2721,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-04,4,24,30,16051224,430080,0.2407,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-05,5,30,36,16051224,430080,0.2558,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-06,6,36,42,16051224,430080,0.2586,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-07,7,42,48,16051224,430080,0.2542,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-08,8,48,54,16051224,430080,0.263,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-09,9,54,60,16051224,430080,0.2527,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-10,10,60,66,16051224,430080,0.2631,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-11,11,66,72,16051224,430080,0.239,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-12,12,72,78,16051224,430080,0.2557,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-13,13,78,84,16051224,430080,0.2578,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-14,14,84,90,16051224,430080,0.2583,,,8,1,1.652614363024748e-07,True
heldout,89,1,16,kda.layer-89.p16.worker-15,15,90,96,16051224,430080,0.2662,,,8,1,1.652614363024748e-07,True
heldout,89,1,32,kda.layer-89.p32.worker-00,0,0,3,8025612,215040,0.1882,,,8,1,1.6478082787920144e-07,True
heldout,89,1,32,kda.layer-89.p32.worker-01,1,3,6,8025612,215040,0.1872,,,8,1,1.6478082787920144e-07,True
heldout,89,1,32,kda.layer-89.p32.worker-02,2,6,9,8025612,215040,0.1881,,,8,1,1.6478082787920144e-07,True
heldout,89,1,32,kda.layer-89.p32.worker-03,3,9,12,8025612,215040,0.1876,,,8,1,1.6478082787920144e-07,True
